disaster_id,name_local,name_international,type,subtype,date_start,date_year,date_month,date_end,affected_families,affected_persons,dead,injured,missing,damaged_houses_full,damaged_houses_partial,damaged_properties_agri,damaged_properties_infra,damaged_properties_private,total_damage
TropicalCyclone_1986-10-10_TropicalStormPasing,Tropical Storm Pasing,Typhoon Ellen,Tropical Storm,,1986-10-10,1986,10,1986-10-14,"3,082",,4,,,52,414,5.29,18.27,5.19,28.74
TropicalCyclone_1986-12-20_TyphoonAning,Typhoon Aning,Typhoon Marge,Typhoon,,1986-12-20,1986,12,1986-12-23,"22,771","110,113",16,107,10,"3,569","18,785",7.78,33.64,0.11,40.07
Human-InducedHazard_1995-12-13,,,Human-Induced Hazard,,1994-12-02,1994,12,,,,,,,,,,,,
Fire_1995-12-13,,,Fire,,1995-12-13,1995,12,,,,,,,,,,,,
Human-InducedHazard_1994-12-02,,,Human-Induced Hazard,Ship collision,1994-12-02,1994,12,,,,,,,,,,,,
Fire_1995-12-13,,,Fire,Fire incident on ship,1995-12-13,1995,12,,,,,,,,,,,,
Human-InducedHazard_1996-02-18,,,Human-Induced Hazard,Ship sinking,1996-02-18,1996,02,,,,,,,,,,,,
Human-InducedHazard_1998-09-18,,,Human-Induced Hazard,Ship sinking,1998-09-18,1998,09,,,,,,,,,,,,
Human-InducedHazard_1999-12-23,,,Human-Induced Hazard,Ship sinking,1999-12-23,1999,12,,,,,,,,,,,,
Tornado_2000-04-15,,,Tornado,,2000-04-15,2000,04,,46,,0,2,,11,34,,,,
TropicalCyclone_2003-05-25_TropicalStormChedeng,"Tropical Storm Chedeng
",Tropical Storm Linfa,Tropical Cyclone,,2003-05-25,2003,05,2003-05-29,"236,073","1,146,316",44,19,8,286,"3,063",163.68,290.68,83.68,538.05
TropicalCyclone_2003-06-13_TropicalStormEgay,Tropical Storm Egay,Tropical Storm Soudelor,Tropical Cyclone,,2003-06-13,2003,06,2003-06-18,"9,967","45,400",12,2,2,94,157,50.12,67.76,13.03,130.91
TropicalCyclone_2003-07-15_TropicalStormGilas,Tropical Storm Gilas,Tropical Storm Koni,Tropical Cyclone,,2003-07-15,2003,07,2003-07-20,"24,183","116,601",4,1,4,191,840,28.77,38.49,,67.26
TropicalCyclone_2003-07-19_SuperTyphoonHarurot,Super Typhoon Harurot,Super Typhoon Imbudo,Tropical Cyclone,,2003-07-19,2003,07,2003-07-23,"380,517","1,795,601",64,154,2,"12,250","50,065","2,273.67",857.86,1.80,"3,233.33"
TropicalCyclone_2003-07-30_TropicalDepressionIneng,Tropical Depression Ineng,n/a,Tropical Cyclone,,2003-07-30,2003,07,2003-07-31,650,"3,748",21,,,12,52,1.41,6.29,0.29,7.99
TropicalCyclone_2003-08-04_TropicalStormKabayan,Tropical Storm Kabayan,Tropical Storm Etau,Tropical Cyclone,,2003-08-04,2003,08,2003-08-06,"31,630","155,147",,,,,,35.50,1.49,,36.98
TropicalCyclone_2003-08-20_TyphoonNina,Typhoon Nina,Typhoon Krovanh,Tropical Cyclone,,2003-08-20,2003,08,2003-08-23,289,"1,156",,,1,9,,4.33,,,4.33
TropicalCyclone_2003-08-29_TyphoonOnyok,Typhoon Onyok,Typhoon Dujuan,Tropical Cyclone,,2003-08-29,2003,08,2003-09-02,"6,535","34,288",1,1,,1,,,,,
TropicalCyclone_2003-10-24_TropicalStormUrsula,Tropical Storm Ursula,n/a,Tropical Cyclone,,2003-10-24,2003,10,2003-10-31,"12,288","64,290",1,,,28,19,0.07,0.03,,0.09
TropicalCyclone_2003-11-12_TropicalStormWeng,"Tropical Storm ""Weng""",Typhoon Nepartak,Tropical Cyclone,,2003-11-12,2003,11,2003-11-15,91,443,13,5,11,2,21,0.02,0.03,,0.05
StormSurge_1897-10-12_TyphoonOfSamarAndLeyte,Typhoon of Samar and Leyte,n/a,Storm Surge,,1897-10-12,1897,10,,,,,,,,,,,,
StormSurge_1908-10-13_TyphoonOfOctober131908,Typhoon of October 13 1908,n/a,Storm Surge,,1908-10-13,1908,10,,,,,,1,,,,,,
StormSurge_1912-10-14_TyphoonOfLeyteAndCebu,Typhoon of Leyte and Cebu,n/a,Storm Surge,,1912-10-14,1912,10,1912-10-16,,,,,,,,,,,
StormSurge_1914-06-15_TyphoonOfSamarAndLuzon,Typhoon of Samar and Luzon,n/a,Storm Surge,,1914-06-15,1914,06,1914-06-24,,,,,,,,,,,
StormSurge_1916-01-10_TyphoonOfBiliranAndNorthernLeyte,Typhoon of Biliran and Northern Leyte,n/a,Storm Surge,,1916-01-10,1916,01,1916-01-16,,,,,,,,,,,
TropicalCyclone_2003,,,Tropical Cyclone,,2003,2003,,,"702,223","3,362,991",139,182,28,"12,306","51,579","2,743.00","1,315.00",113.00,"4,171.00"
TropicalCyclone_2002,,,Tropical Cyclone,,2002,2002,,,"538,600","3,546,469",169,71,33,"2,980","15,947",480.00,340.00,9.00,829.00
TropicalCyclone_2001,,,Tropical Cyclone,,2001,2001,,,"758,938","3,629,295",432,418,134,"14,899","54,422","2,964.00","3,562.00",397.00,"6,923.00"
TropicalCyclone_2000,,,Tropical Cyclone,,2000,2000,,,"1,450,773","7,284,946",345,386,106,"24,295","196,465","4,980.00","2,120.00",370.00,"7,470.00"
TropicalCyclone_1999,,,Tropical Cyclone,,1999,1999,,,"381,599","1,789,013",100,56,15,"16,087","57,566","1,292.00","1,060.00",226.00,"2,578.00"
TropicalCyclone_1998,,,Tropical Cyclone,,1998,1998,,,"1,590,905","7,322,133",490,866,104,"137,020","406,347","10,710.00","4,900.00","1,400.00","17,017.00"
TropicalCyclone_1997,,,Tropical Cyclone,,1997,1997,,,"480,173","2,399,435",91,44,8,"2,325","20,546",553.00,450.00,43.00,"1,046.00"
TropicalCyclone_1996,,,Tropical Cyclone,,1996,1996,,,"280,574","1,255,289",124,134,50,"2,690","17,559","1,818.00",963.00,18.00,"2,798.00"
TropicalCyclone_1995,,,Tropical Cyclone,,1995,1995,,,"1,561,344","7,683,526","1,356","4,533",664,"294,147","719,124","11,473.00","3,628.00",260.00,"15,361.00"
TropicalCyclone_1994,,,Tropical Cyclone,,1994,1994,,,"617,228","3,054,232",242,247,48,"62,344","223,359","1,881.00",940.00,377.00,"3,198.00"
TropicalCyclone_1993,,,Tropical Cyclone,,1993,1993,,,"1,404,446","7,363,591",794,"1,634",200,"164,174","444,909","10,280.00","3,110.00",82.00,"13,471.00"
TropicalCyclone_1992,,,Tropical Cyclone,,1992,1992,,,"352,950","1,755,811",118,95,53,"3,314","8,006","2,613.00","2,434.00",25.00,"5,072.00"
TropicalCyclone_1991,,,Tropical Cyclone,,1991,1991,,,"150,894","759,335","5,199",355,"1,281","15,458","83,664","2,775.00","1,191.00",221.00,"4,187.00"
TropicalCyclone_1990,,,Tropical Cyclone,,1990,1990,,,"1,127,505","6,053,319",624,"1,337",257,"222,831","634,676","10,094.00","1,363.00","1,223.00","11, 176"
TropicalCyclone_1989,,,Tropical Cyclone,,1989,1989,,,"502,600","2,582,822",382,"1,087",89,"56,473","184,584","3,196.00","1,222.00",75.00,"4,493.00"
TropicalCyclone_1988,,,Tropical Cyclone,,1988,1988,,,"1,173,994","6,081,572",429,468,195,"134,344","585,732","7,256.00","1,225.00",213.00,"8,694.00"
TropicalCyclone_1987,,,Tropical Cyclone,,1987,1987,,,"668,628","3,691,265","1,020","1,455",213,"242,336","345,370","2,752.00",970.00,363.00,"4,085.00"
TropicalCyclone_1986,,,Tropical Cyclone,,1986,1986,,,"287,240","1,524,301",171,155,43,"3,162","14,595","1,292.00",488.00,93.00,"1,873.00"
TropicalCyclone_1985,,,Tropical Cyclone,,1985,1985,,,"318,106","1,643,142",211,17,300,"8,204","211,151","2,049.00",123.00,360.00,"2,532.00"
TropicalCyclone_1984,,,Tropical Cyclone,,1984,1984,,,"741,510","4,048,805","1,979","4,426",732,"310,646","313,391","3,138.00","1,852.00",879.00,"5,869.00"
TropicalCyclone_1983,,,Tropical Cyclone,,1983,1983,,,"140,804","747,155",126,168,28,"29,892","85,072",362.00,144.00,36.00,541.00
TropicalCyclone_1982,,,Tropical Cyclone,,1982,1982,,,"398,991","2,149,167",389,402,228,"84,887","100,874",663.00,607.00,379.00,"3,139.00"
TropicalCyclone_1981,,,Tropical Cyclone,,1981,1981,,,"250,325","1,472,417",484,"1,922",264,"93,965","159,251",812.00,369.00,91.00,"1,272.00"
TropicalCyclone_1980,,,Tropical Cyclone,,1980,1980,,,,,,,,,,912.00,370.00,194.00,
TropicalCyclone_1979,,,Tropical Cyclone,,1979,1979,,,"155,919","924,326",69,79,68,"54,283","58,649",178.00,72.00,167.00,417.00
TropicalCyclone_1978,,,Tropical Cyclone,,1978,1978,,,"520,405","2,853,104",663,834,395,"68,376","94,147",502.00,423.00,651.00,"1,576.00"
TropicalCyclone_1977,,,Tropical Cyclone,,1977,1977,,,"137,411","812,638",99,118,23,"15,679","16,115",108.00,227.00,0.00,335.00
TropicalCyclone_1976,,,Tropical Cyclone,,1976,1976,,,"504,510","2,744,379",313,37,185,"3,917","4,912",176.00,433.00,115.00,725.00
TropicalCyclone_1976-05-19_TyphoonEndang,Typhoon Endang,n/a,Tropical Cyclone,,1976-05-19,1976,05,1976-05-28,"500,054","2,719,415",200,20,147,"3,792","4,192",153.00,350.84,104.05,642.69
TropicalCyclone_1976-06-22_TyphoonHuaning,Typhoon Huaning,Typhoon Ruby,Tropical Cyclone,,1976-06-22,1976,06,1976-07-02,"2,702","16,212",3,,23,110,,5.74,20.68,1.05,27.66
TropicalCyclone_1976-08-08_TyphoonNitang,Typhoon Nitang,Typhoon Billie,Tropical Cyclone,,1976-08-08,1976,8,1976-08-17,,,,,,,,,1.03,,1.03
TropicalCyclone_1976-09-13_TyphoonToyang,Typhoon Toyang,Typhoon Iris,Tropical Cyclone,,1976-09-13,1976,9,1976-09-17,13,48,,,,15,,0.05,0.43,,0.48
TropicalCyclone_1976-12-02_TropicalStormAring,Tropical Storm Aring,Severe Tropical Storm Nora,Tropical Cyclone,Tropical Storm,1976-12-02,1976,12,1976-12-07,"1,741","8,704",110,17,15,,,16.49,42.69,10.05,69.27
TropicalCyclone_1976-12-29_TropicalDepressionKayang,Tropical Depression Kayang,Tropical Depression Kayang,Tropical Cyclone,Tropical Depression,1976-12-29,1976,12,1976-12-31,,,,,,,,0.65,0.85,0.20,1.70
TropicalCyclone_1975,,,Tropical Cyclone,,1975,1975,,,"4,518","26,523",39,8,8,698,"1,547",4.00,9.00,6.00,19.00
TropicalCyclone_1975-01-22_TyphoonAuring,Typhoon Auring,Typhoon Lola,Tropical Cyclone,,1975-01-22,1975,1,1975-01-26,"4,518","26,523",39,8,8,698,"1,547",3.51,7.66,5.03,16.37
TropicalCyclone_1975-10-09_TyphoonMameng,Typhoon Mameng,Typhoon Elsie,Tropical Cyclone,,1975-10-09,1975,10,1975-10-13,,,,,,,,1.09,0.89,0.77,2.71
TropicalCyclone_1974,,,Tropical Cyclone,,1974,1974,,,"97,085","444,380",153,118,89,"1,441","4,589",157.00,118.00,90.00,365.00
TropicalCyclone_1974-01-08_TyphoonBising,Typhoon Bising,Typhoon Dinah,Tropical Cyclone,,1974-01-08,1974,1,1974-01-11,"1,367","6,421",65,,40,,,22.82,10.38,1.29,34.49
TropicalCyclone_1974-07-18_TyphoonIliang,Typhoon Iliang,Typhoon Ivy,Tropical Cyclone,,1974-07-18,1974,7,1974-07-21,"2,400","14,400",21,16,46,140,"2,260",23.08,9.70,,38.62
TropicalCyclone_1974-10-08_TyphoonSusang,Typhoon Susang,Typhoon Bess,Tropical Cyclone,,1974-10-08,1974,10,1974-10-12,"7,142","35,562",26,40,3,,,16.35,12.45,16.41,45.22
TropicalCyclone_1974-10-14_TyphoonTering,Typhoon Tering,Typhoon Carmen,Tropical Cyclone,,1974-10-14,1974,10,1974-10-17,"7,756","28,486",13,9,,,,59.39,4.91,,64.30
TropicalCyclone_1974-10-25_TyphoonWening,Typhoon Wening,Typhoon Elaine,Tropical Cyclone,,1974-10-25,1974,10,1974-10-26,"55,575","227,902",23,50,,,,34.39,80.04,2.97,117.40
TropicalCyclone_1974-10-31_TyphoonYaning,Typhoon Yaning,Severe Tropical Storm Faye,Tropical Cyclone,,1974-10-31,1974,10,1974-11-02,,,1,1,,,,0.16,0.14,,0.30
TropicalCyclone_1974-11-04_TyphoonAning,Typhoon Aning,Typhoon Gloria,Tropical Cyclone,,1974-11-04,1974,11,1974-11-07,"22,835","131,609",3,2,,"1,301","2,329",1.55,0.39,0.08,22.02
TropicalCyclone_1974-11-24_TyphoonBidang,Typhoon Bidang,Typhoon Irma,Tropical Cyclone,,1974-11-24,1974,11,1974-11-29,,,1,,,,,,42.80,,42.80
TropicalCyclone_1973,,,Tropical Cyclone,,1973,1973,,,"2,024","12,144",74,24,89,,,190.00,39.00,16.00,245.00
TropicalCyclone_1973-10-02,,,Tropical Cyclone,,1973-10-02,1973,10,1973-10-09,,,1,,,,,27.52,7.69,3.95,39.16
TropicalCyclone_1973-11-18,,,Tropical Cyclone,,1973-11-18,1973,11,1973-11-24,,,73,24,89,,,156.77,33.93,6.58,203.57
TropicalCyclone_1973-11-24,,,Tropical Cyclone,,1973-11-24,1973,11,1973-11-29,,,,,,,,5.40,0.77,1.50,7.68
TropicalCyclone_1972,,,Tropical Cyclone,,1972,1972,,,"15,602","62,408",298,33,5,,,63.00,45.00,70.00,178.00
TropicalCyclone_1972-01-05_TropicalStormAsiang,Tropical Storm Asiang,Typhoon Kit,Tropical Cyclone,Tropical Storm,1972-01-05,1972,1,1972-01-09,,,204,26,5,,,,,,145.00
TropicalCyclone_1972-07-23_TyphoonKonsing,Typhoon Konsing,Typhoon Ora,Tropical Cyclone,,1972-07-23,1972,7,1972-07-25,,,,,,,,5.59,14.60,0.07,20.26
TropicalCyclone_1972-11-04_TyphoonToyang,Typhoon Toyang,Typhoon Pamela,Tropical Cyclone,,1972-11-04,1972,11,1972-11-05,,,4,5,,,,,,,5.00
TropicalCyclone_1972-12-01_TyphoonUndang,Typhoon Undang,Typhoon Therese,Tropical Cyclone,,1972-12-01,1972,12,1972-12-08,,,90,,,,,,,,8.00
TropicalCyclone_1971,,,Tropical Cyclone,,1971,1971,,,"4,225","17,275",89,72,110,,,24.00,0.00,17.00,41.00
TropicalCyclone_1971-04-23_TyphoonDiding,Typhoon Diding,Typhoon Wanda,Tropical Cyclone,,1971-04-23,1971,4,1971-04-26,,,56,39,14,,,,,,4.30
TropicalCyclone_1971-05-25_TyphoonHerming,Typhoon Herming,Typhoon DInah,Tropical Cyclone,,1971-05-25,1971,5,1971-05-27,,,13,3,14,,,,,,3.80
TropicalCyclone_1971-06-23_TyphoonMambing,Typhoon Mambing,,Tropical Cyclone,,1971-06-23,1971,6,1971-06-26,,,1,,,,,,,,7.50
TropicalCyclone_1971-10-06_TropicalStormKrising,Tropical Storm Krising,Severe Tropical Storm Faye,Tropical Cyclone,Tropical Storm,1971-10-06,1971,10,1971-10-11,,,10,8,80,,,,,,13.00
TropicalCyclone_1971-10-11_TropicalStormDading,Tropical Storm Dading,Severe Tropical Storm Gloria,Tropical Cyclone,Tropical Storm,1971-10-11,1971,10,1971-10-13,,,3,,,,,,,,7.00
TropicalCyclone_1971-10-19_TropicalStormGoying,Tropical Storm Goying,Typhoon Hester,Tropical Cyclone,Tropical Storm,1971-10-19,1971,10,1971-10-22,,,6,22,2,,,,,,4.70
TropicalCyclone_1970,,,Tropical Cyclone,,1970,1970,,,"18,370","109,980","1,328","1,917",494,,,314.00,28.00,158.00,500.00
TropicalCyclone_1970-02-23_TyphoonAtang,Typhoon Atang,Typhoon Nancy,Tropical Cyclone,,1970-02-23,1970,2,1970-02-27,,,,,,,,,,,6.00
TropicalCyclone_1970-09-04_TropicalStormOyang,Tropical Storm Oyang,Severe Tropical Storm Fran,Tropical Cyclone,Tropical Storm,1970-09-04,1970,9,1970-09-06,,,42,,,,,,,,25.00
TropicalCyclone_1970-09-08_TyphoonPitang,Typhoon Pitang,Typhoon Georgia,Tropical Cyclone,,1970-09-08,1970,9,1970-09-12,"1,326","7,716",,,,,,,,,3.85
TropicalCyclone_1970-09-12_TyphoonSening,Typhoon Sening,Typhoon Joan,Tropical Cyclone,,1970-09-12,1970,9,1970-09-15,,,575,"1,593",193,,,,,,78.51
TropicalCyclone_1970-10-16_TropicalStormTitang, Tropical Storm Titang,Typhoon Kate,Tropical Cyclone,Tropical Storm,1970-10-16,1970,10,1970-10-22,,,631,76,248,,,,,,305.00
TropicalCyclone_1970-11-17_TyphoonYoling,Typhoon Yoling,Typhoon Patsy,Tropical Cyclone,,1970-11-17,1970,11,1970-11-20,"17,044","102,264",80,284,17,,,,,,82.27
TropicalCyclone_1998-12-11_TyphoonNorming,Typhoon Norming,Typhoon Faith,Tropical Cyclone,,1998-12-11,1998,12,1998-12-15,"70,620","297,171",33,30,36,"3,234","6,423",644.32,278.91,137.67,
TropicalCyclone_2000-11-29_TyphoonToyang,Typhoon Toyang,Tropical Storm Rumbia,Tropical Cyclone,,2000-11-29,2000,11,2000-12-02,"9,891","50,927",9,3,3,"1,272",57,0.58,,,
TropicalCyclone_2002-06-28_SouthwestMonsoonRains,Southwest Monsoon Rains (?),,Tropical Cyclone,Southwest Monsoon Rains,2002-06-28,2002,6,2002-07-14,"425,072","1,994,369",61,41,5,404,"2,059",287.39,104.10,0.71,
TropicalCyclone_2002-08-11_TropicalDepressionMilenyo,Tropical Depression Milenyo,Tropical Depression 18W,Tropical Cyclone,Tropical Depression,2002-08-11,2002,8,2002-08-14,"38,634","194,451",35,22,21,208,652,83.04,87.92,0.63,
Human-InducedHazard_2004-10-02_Fire,,,Human-Induced Hazard,Fire,2004-10-02,2004,10,2004-10-28,151,,10,4,,149,,,75.00,,
Human-InducedHazard_2004-10-28_Fire,,,Human-Induced Hazard,Fire,2004-10-28,2004,10,,,,,,,,,,,,
Human-InducedHazard_2004-10-26_Fire,,,Human-Induced Hazard,Fire,2004-10-26,2004,10,,,,,,,,,,,,
Human-InducedHazard_2004-10-25_Fire,,,Human-Induced Hazard,Fire,2004-10-25,2004,10,,,,,,,,,,,,
Human-InducedHazard_2004-10-23_Fire,,,Human-Induced Hazard,Fire,2004-10-23,2004,10,,,,,,,,,,,,
Human-InducedHazard_2004-10-19_Fire,,,Human-Induced Hazard,Fire,2004-10-19,2004,10,,,,,,,,,,,,
Human-InducedHazard_2004-10-17_Fire,,,Human-Induced Hazard,Fire,2004-10-17,2004,10,,,,,,,,,,,,
Human-InducedHazard_2004-10-14_Fire,,,Human-Induced Hazard,Fire,2004-10-14,2004,10,,,,,,,,,,,,
Human-InducedHazard_2004-10-13_Fire,,,Human-Induced Hazard,Fire,2004-10-13,2004,10,,,,,,,,,,,,
Human-InducedHazard_2004-10-11_Fire,,,Human-Induced Hazard,Fire,2004-10-11,2004,10,,,,,,,,,,,,
Human-InducedHazard_2004-10-11_Fire,,,Human-Induced Hazard,Fire,2004-10-11,2004,10,,,,,,,,,,,,
Human-InducedHazard_2004-10-07_Fire,,,Human-Induced Hazard,Fire,2004-10-07,2004,10,,,,,,,,,,,,
Human-InducedHazard_2004-10-03_Fire,,,Human-Induced Hazard,Fire,2004-10-03,2004,10,,,,,,,,,,,,
Human-InducedHazard_2004-10-10_VehicularAccidentsSummary,,,Human-Induced Hazard,Vehicular Accidents Summary,2004-10-10,2004,10,2004-10-17,,4,2,1,,,,,,,
Human-InducedHazard__Bus-TricycleCrash,,,Human-Induced Hazard,Bus - Tricycle Crash,,,,,,,,,,,,,,,
Human-InducedHazard__SeaMishap(FellOverboard),,,Human-Induced Hazard,Sea Mishap (Fell Overboard),,,,,,,,,,,,,,,
Human-InducedHazard__PlaneCrash,,,Human-Induced Hazard,Plane Crash,,,,,,,,,,,,,,,
TropicalCyclone_2004-10-24_TyphoonTonyo,Typhoon Tonyo,Typhoon Nock-ten,Tropical Cyclone,,2004-10-24,2004,10,,,,,,,,,,,,
TropicalCyclone_2004-10-13_TyphoonSiony,Typhoon Siony,Typhoon Tokage,Tropical Cyclone,,2004-10-13,2004,10,2004-10-23,"44,378","221,890",,6,,5,,,,,
Tornado_10-18_Tornado,,,Tornado,,10-18,10,18,,,,,,,,,,,,
Flooding_10-15_FlashFlood,,,Flooding,Flash Flood,10-15,10,15,,,,,,,,,,,,
TropicalCyclone_2004-10-05_TyphoonRolly,Typhoon Rolly,Typhoon Ma-on,Tropical Cyclone,,2004-10-05,2004,10,2004-10-08,14,84,5,3,1,,14,,17.00,,
MassMovement_2004-10-09_BoulderFall,,,Mass Movement,Boulder Fall,2004-10-09,2004,10,,,,1,,,,,,,,
Earthquake_2004-10-26_,,,Earthquake,,2004-10-26,2004,10,,,,,,,,,,,,
Earthquake_2004-10-11_,,,Earthquake,,2004-10-11,2004,10,,,,,,,,,,,,
Earthquake_2004-10-11_,,,Earthquake,,2004-10-11,2004,10,,,,,,,,,,,,
Earthquake_2004-10-08_,,,Earthquake,,2004-10-08,2004,10,,,,,,,,,,,,
VolcanicHazard_2004-10-28_TaalVolcanoActivity,,,Volcanic Hazard,Taal Volcano Activity,2004-10-28,2004,10,,,,,,,,,,,,
Human-InducedHazard_2004-12_,,,Human-Induced Hazard,,2004-12,2004,12,2005-01,"2,683","13,415",27,1,1,9,,,,,
Human-InducedHazard__ArmedConflictInMaguindanao,,,Human-Induced Hazard,Armed Conflict in Maguindanao,,,,,,,,,,,,,,,
Human-InducedHazard__ArmedConflictInSultanKudarat,,,Human-Induced Hazard,Armed Conflict in Sultan Kudarat,,,,,,,,,,,,,,,
Human-InducedHazard_2005-01-16_ShootingIncident,,,Human-Induced Hazard,Shooting Incident,2005-01-16,2005,01,,,,6,18,,,,,,,
Human-InducedHazard_2005-01-05_FireIncidentSummary,,,Fire,Fire Incident Summary,2005-01-05,2005,1,2005-01-29,368,"1,097",5,9,,222,5,,246.40,,
Human-InducedHazard_2005-01-29_Fire,,,Fire,,2005-01-29,2005,01,,,,,,,,,,,,
Human-InducedHazard_2005-01-27_Fire,,,Fire,,2005-01-27,2005,01,,,,,,,,,,,,
Human-InducedHazard_2005-01-25_Fire,,,Fire,,2005-01-25,2005,01,,,,,,,,,,,,
Human-InducedHazard_2005-01-22_Fire,,,Fire,,2005-01-22,2005,01,,,,,,,,,,,,
Human-InducedHazard_2005-01-22_Fire,,,Fire,,2005-01-22,2005,01,,,,,,,,,,,,
Human-InducedHazard_2005-01-22_Fire,,,Fire,,2005-01-22,2005,01,,,,,,,,,,,,
Human-InducedHazard_2005-01-21_Fire,,,Fire,,2005-01-21,2005,01,,,,,,,,,,,,
Human-InducedHazard_2005-01-21_Fire,,,Fire,,2005-01-21,2005,01,,,,,,,,,,,,
